URL: https://www.mega.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793041.8194149
URL: https://www.google.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793041.8252368
URL: https://www.stuff.co.nz, Size: 2884 bytes, Status: 200, Depth: 0, Time: 1726793042.1565032
URL: https://www.nzherald.co.nz, Size: 2082376 bytes, Status: 200, Depth: 0, Time: 1726793042.5105233
URL: https://www.rnz.co.nz, Size: 151661 bytes, Status: 200, Depth: 0, Time: 1726793045.1174982
URL: https://www.auckland.ac.nz, Size: 252040 bytes, Status: 200, Depth: 0, Time: 1726793045.546674
URL: https://www.otago.ac.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793045.790569
URL: https://www.scoop.co.nz, Size: 88140 bytes, Status: 200, Depth: 0, Time: 1726793046.794816
URL: https://www.tvnz.co.nz, Size: 6646 bytes, Status: 200, Depth: 0, Time: 1726793047.0952208
URL: https://www.mega.co.nz, Size: 554 bytes, Status: 200, Depth: 0, Time: 1726793047.448113
URL: https://www.waikato.ac.nz, Size: 293861 bytes, Status: 200, Depth: 0, Time: 1726793049.2456617
URL: https://www.newshub.co.nz, Size: 45982 bytes, Status: 200, Depth: 0, Time: 1726793050.4166975
URL: https://www.kiwislot.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793050.4856348
URL: https://www.wgtn.ac.nz, Size: 85139 bytes, Status: 200, Depth: 0, Time: 1726793052.0166876
URL: https://www.blogspot.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793052.4735394
URL: https://www.radionz.co.nz, Size: 151661 bytes, Status: 200, Depth: 0, Time: 1726793053.0922432
URL: https://www.victoria.ac.nz, Size: 85139 bytes, Status: 200, Depth: 0, Time: 1726793054.979099
URL: https://www.odt.co.nz, Size: 154715 bytes, Status: 200, Depth: 0, Time: 1726793056.1531518
URL: https://www.pinterest.nz, Size: 412623 bytes, Status: 200, Depth: 0, Time: 1726793057.8013532
URL: https://www.aut.ac.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793059.9678936
URL: https://www.free-pokies.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793061.2758174
URL: https://www.privacy.org.nz, Size: 212 bytes, Status: 200, Depth: 0, Time: 1726793061.538211
